algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,93.7523048034,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,97.5560181087,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,125.102755115,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,75.4093843993,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,85.8270908116,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,121.501590115,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,79.0682780787,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,86.5259582188,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,116.383917928,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,92.633741445,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,96.4711895028,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,117.110524746,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,93.9628867627,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,97.867579217,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,125.669493978,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,75.5766549495,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,86.1015004439,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,122.049031857,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,79.2536476349,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,86.8092975176,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,116.87986052,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,92.8588042889,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,96.7612271609,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,117.613916284,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,94.0790074192,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,97.5546965925,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,124.985596587,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,75.6844041684,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,85.813446782,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,121.394986743,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,79.2634764293,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,86.5890234917,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,116.191512417,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,92.9813146737,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,96.691535158,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,117.227657581,True,True,False,True
