score,model_base_alpha,model_base_eta,num_topics
0.34609207176730383,auto,auto,100
0.3972374627931754,auto,auto,200
0.34809855059734179,auto,auto,500
0.37828298632097807,auto,1,100
0.36933499199149167,auto,1,200
0.35324429436115007,auto,1,500
0.38476629858553313,auto,2,100
0.43968154309966367,auto,2,200
0.35273645138905241,auto,2,500
0.29773908601172766,auto,5,100
0.33190676191793766,auto,5,200
0.31627094644122061,auto,5,500
0.37554643984443498,1,auto,100
0.33693502877237291,1,auto,200
0.34300124495042011,1,auto,500
0.33407550613776199,1,1,100
0.35233657048076633,1,1,200
0.33429734252512427,1,1,500
0.3270100072175629,1,2,100
0.36340687810472144,1,2,200
0.34934576125614392,1,2,500
0.31678027720219071,1,5,100
0.3483719984127519,1,5,200
0.3530232192137942,1,5,500
0.33944645884955582,2,auto,100
0.367879383184608,2,auto,200
0.332765319164397,2,auto,500
0.37563105924992829,2,1,100
0.37332223250135521,2,1,200
0.33579168935388631,2,1,500
0.34039284702773753,2,2,100
0.3719442595718026,2,2,200
0.36160391106223183,2,2,500
0.37368603425137054,2,5,100
0.3428887613059049,2,5,200
0.34120222390690336,2,5,500
0.33108521697154025,5,auto,100
0.34470182627670254,5,auto,200
0.33008262875748129,5,auto,500
0.33227205000820154,5,1,100
0.32380906001321247,5,1,200
0.32908717278609934,5,1,500
0.36100199018252294,5,2,100
0.34142195261941238,5,2,200
0.28804045154492325,5,2,500
0.3407819763512725,5,5,100
0.36420390074843007,5,5,200
0.32686939772235918,5,5,500
