score,changeset_include_additions,changeset_include_context,changeset_include_message,changeset_include_removals
0.64819227756401676,True,True,True,True
0.40333299041836868,True,True,False,True
0.47131930260065719,True,False,True,True
0.52312548948170678,True,False,False,True
0.47587680814322764,True,True,True,False
0.55717768368440201,True,True,False,False
0.48639319430912958,True,False,True,False
0.38287555146119445,True,False,False,False
0.44944646824549672,False,True,True,True
0.39403634820721622,False,True,False,True
0.37590463230610555,False,False,True,True
0.41092820641736438,False,False,False,True
0.45073123097087353,False,True,True,False
0.41978052240363584,False,True,False,False
0.54750615594750507,False,False,True,False
0.0,False,False,False,False
