score,model_base_alpha,model_base_eta,num_topics
0.35944292397283173,auto,auto,100
0.3435032869867638,auto,auto,200
0.28841431539009277,auto,auto,500
0.22868123824608602,auto,1,100
0.35600599997647892,auto,1,200
0.25496850097222234,auto,1,500
0.29592104021766741,auto,2,100
0.34860169094813404,auto,2,200
0.25269409565984907,auto,2,500
0.33400640315755259,auto,5,100
0.33693252535777124,auto,5,200
0.25949988772259447,auto,5,500
0.33548204344658344,1,auto,100
0.23419419968377753,1,auto,200
0.17568265704103095,1,auto,500
0.34478698309449074,1,1,100
0.26748425951421845,1,1,200
0.24911613338824842,1,1,500
0.25747826779039878,1,2,100
0.40156213570009786,1,2,200
0.2191179425477868,1,2,500
0.28159618687976484,1,5,100
0.24195961755087456,1,5,200
0.27058756293016739,1,5,500
0.37805648576374268,2,auto,100
0.31064947278661981,2,auto,200
0.24267549278089345,2,auto,500
0.39869451589722987,2,1,100
0.22329770177663413,2,1,200
0.25907050124495701,2,1,500
0.29985177975612981,2,2,100
0.32317294208453129,2,2,200
0.25074453404871538,2,2,500
0.3305855959629424,2,5,100
0.20183554775074825,2,5,200
0.23801207050721218,2,5,500
0.34293148773102555,5,auto,100
0.2401885377149803,5,auto,200
0.19483053419072682,5,auto,500
0.29408299844504499,5,1,100
0.23472752594503574,5,1,200
0.14250673282932289,5,1,500
0.30555037349667014,5,2,100
0.26784623210803316,5,2,200
0.23155461345893488,5,2,500
0.16562704485920002,5,5,100
0.27359396815239745,5,5,200
0.31245388122983708,5,5,500
