score,model_base_alpha,model_base_eta,num_topics
0.32123152920162973,auto,auto,100
0.40545597507618653,auto,auto,200
0.50869691285164753,auto,auto,500
0.2822850699433313,auto,1,100
0.45517237038598624,auto,1,200
0.51463275640163664,auto,1,500
0.32164752503821253,auto,2,100
0.40023714265680749,auto,2,200
0.49414240897029926,auto,2,500
0.34630879355677896,auto,5,100
0.41378511121977096,auto,5,200
0.46779790617017486,auto,5,500
0.34394591870942082,1,auto,100
0.35447012802604438,1,auto,200
0.42780005497846879,1,auto,500
0.33669663448617887,1,1,100
0.431423581411291,1,1,200
0.42406879388839935,1,1,500
0.26093477499572498,1,2,100
0.50402426517560495,1,2,200
0.44019462791607933,1,2,500
0.2612892811633854,1,5,100
0.28268157700867075,1,5,200
0.42354329572237365,1,5,500
0.4690207432767054,2,auto,100
0.44863125484171296,2,auto,200
0.48452147998472189,2,auto,500
0.3846114211830014,2,1,100
0.31184093768921889,2,1,200
0.52820056527775217,2,1,500
0.27570622705538206,2,2,100
0.44258255379012296,2,2,200
0.47172602764686439,2,2,500
0.2666518003788847,2,5,100
0.2417341537095542,2,5,200
0.37909237255380224,2,5,500
0.386408151856097,5,auto,100
0.28914030625060966,5,auto,200
0.41958541680157047,5,auto,500
0.31755182606105475,5,1,100
0.38470418009104329,5,1,200
0.49103961763081977,5,1,500
0.32376897539555249,5,2,100
0.42548113741259991,5,2,200
0.51741525578766767,5,2,500
0.11511376651856674,5,5,100
0.33593198860284412,5,5,200
0.42280973307288466,5,5,500
