algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,52.0977768835,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,49.9145069499,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,48.42513377,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,51.5196429356,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,49.5262516781,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,48.4910131149,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,51.6216632333,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,49.6580638542,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,48.3481026458,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,52.2532705201,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,50.1124913256,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,48.5053028804,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,52.1173377974,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,49.9573026673,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,48.4798932004,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,51.5388952066,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,49.687401308,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,48.5454509845,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,51.6401518763,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,49.696321423,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,48.39953225,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,52.3799571386,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,50.1464588389,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,48.554586704,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,52.1367403199,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,49.9082255558,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,48.357381553,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,51.5581109355,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,49.6397367604,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,48.42406416,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,51.6395854134,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,49.6345038269,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,48.2994387846,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,52.2618691451,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,50.1118768765,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,48.4585395002,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,52.2550558032,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,49.9648128476,True,True,False,True
