algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,81.5048674876,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,81.7576397711,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,82.639106649,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,80.336734234,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,81.2293148031,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,83.1901465372,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,80.1597797558,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,80.8982334612,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,82.5545891259,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,80.4646405243,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,80.9272190376,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,82.0616526672,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,81.5053237807,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,81.7591141069,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,82.6411776237,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,80.337666937,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,81.2316412365,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,83.1928002506,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,80.1607612064,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,81.0374569367,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,82.5568469562,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,80.4654868117,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,80.9292199948,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,82.0634735681,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,81.4983236947,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,81.7454323169,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,82.6215537528,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,80.3292469252,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,81.2054161078,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,83.1713147268,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,80.1574058826,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,80.8803511494,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,82.5322698537,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,80.4751925452,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,80.9562242404,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,82.0626147689,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,81.5436203667,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,81.741465147,True,True,False,True
batch,0.01,0.5,auto,1000,1000,500,1.0,1,1,82.5594660415,True,True,False,True
batch,0.05,0.5,0.01,1000,1000,100,1.0,1,1,80.3561719736,True,True,False,True
batch,0.025,0.5,0.005,1000,1000,200,1.0,1,1,81.2044525576,True,True,False,True
batch,0.01,0.5,0.002,1000,1000,500,1.0,1,1,83.1065598598,True,True,False,True
batch,0.05,0.5,0.02,1000,1000,100,1.0,1,1,80.1937589507,True,True,False,True
batch,0.025,0.5,0.01,1000,1000,200,1.0,1,1,80.869604955,True,True,False,True
batch,0.01,0.5,0.004,1000,1000,500,1.0,1,1,82.5330126395,True,True,False,True
batch,0.05,0.5,0.05,1000,1000,100,1.0,1,1,80.4044457747,True,True,False,True
batch,0.025,0.5,0.025,1000,1000,200,1.0,1,1,80.9421806161,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,500,1.0,1,1,82.0418364364,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,82.0420450907,True,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,81.1091450375,True,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,81.759260132,True,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,81.4376137913,True,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,82.2864483187,True,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,80.6134232233,True,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,81.816103657,True,False,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,79.3588921909,False,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,81.8325679008,False,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,78.7677230318,False,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,80.408807845,False,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,83.3439968297,False,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,80.9545606483,False,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,113.841147246,False,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,83.1928002506,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,83.6957726589,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,83.9155617148,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,84.2833388263,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,83.0806733684,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,83.5244273123,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,84.6489599718,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,83.8555125964,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,83.8368489592,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,83.866474825,True,True,False,True
