algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,56.5930769315,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,55.71687611,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,57.5754078862,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,52.5461441468,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,53.8348678604,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,57.8318032949,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,52.7604170939,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,53.7212272736,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,56.1996810925,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,55.4504945371,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,54.8404372959,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,56.0208724512,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,56.6518515244,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,55.8475685493,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,57.7586904454,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,52.5994064877,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,53.9631736271,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,58.0158691649,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,52.8178787409,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,53.8373425452,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,56.3632575643,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,55.5134966697,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,54.9592371483,True,True,False,True
