score,model_base_alpha,model_base_eta,num_topics
0.25835575124320015,auto,auto,100
0.32296208752842503,auto,auto,200
0.38043103117056248,auto,auto,500
0.27218609579488429,auto,1,100
0.26261106266473377,auto,1,200
0.4177867883750237,auto,1,500
0.26476281101656801,auto,2,100
0.32547874457492321,auto,2,200
0.33108329221467908,auto,2,500
0.26575362923468049,auto,5,100
0.29821774735488304,auto,5,200
0.29153964445935249,auto,5,500
0.27947673254332989,1,auto,100
0.29928351056941377,1,auto,200
0.36419179563340148,1,auto,500
0.26803218071466245,1,1,100
0.3285197560519022,1,1,200
0.2957557105463367,1,1,500
0.27238453962906517,1,2,100
0.31174220588442869,1,2,200
0.28703661802631314,1,2,500
0.23928926976468279,1,5,100
0.29700382255550506,1,5,200
0.32506823361267323,1,5,500
0.27254911818876471,2,auto,100
0.30156220225128266,2,auto,200
0.30533313294691572,2,auto,500
0.26767496716396177,2,1,100
0.29609044943415919,2,1,200
0.35171802042239997,2,1,500
0.27807420178733572,2,2,100
0.3128226616902014,2,2,200
0.31832453839753111,2,2,500
0.28683095981829343,2,5,100
0.30222759673404614,2,5,200
0.32270835334268932,2,5,500
0.28250045380460514,5,auto,100
0.33257142779130983,5,auto,200
0.35057326088347984,5,auto,500
0.28930384730095227,5,1,100
0.29518377862398332,5,1,200
0.35468036626795751,5,1,500
0.25812298895703789,5,2,100
0.3139904079233134,5,2,200
0.3205329199210693,5,2,500
0.28428057769920095,5,5,100
0.31629890790474735,5,5,200
0.29917410191482846,5,5,500
