score,model_base_alpha,model_base_eta,num_topics
0.25558246542566954,auto,auto,100
0.29326706596645619,auto,auto,200
0.32567897727009443,auto,auto,500
0.22762842094753996,auto,1,100
0.32328724384147317,auto,1,200
0.27929523605514028,auto,1,500
0.25643914514488275,auto,2,100
0.2489570594404705,auto,2,200
0.29075934287169281,auto,2,500
0.26524671852681775,auto,5,100
0.22134812247620136,auto,5,200
0.27818415315119466,auto,5,500
0.20792881335457716,1,auto,100
0.27675365431844395,1,auto,200
0.31885382288007919,1,auto,500
0.23326990357279556,1,1,100
0.25542439228151886,1,1,200
0.2689640410590779,1,1,500
0.24263173227510715,1,2,100
0.25228681914212459,1,2,200
0.27174779944276428,1,2,500
0.23578732106854289,1,5,100
0.27695252295705025,1,5,200
0.29009129744010426,1,5,500
0.21734754652309704,2,auto,100
0.25298081020459201,2,auto,200
0.27116754448996105,2,auto,500
0.24158460388474207,2,1,100
0.25446142863007759,2,1,200
0.31199394008249542,2,1,500
0.24587351388469897,2,2,100
0.22256196341257542,2,2,200
0.30822270295511711,2,2,500
0.23206235749370294,2,5,100
0.2765386043334418,2,5,200
0.27935759262970355,2,5,500
0.24967395865181874,5,auto,100
0.25580189787887481,5,auto,200
0.26602768586630854,5,auto,500
0.22584249401226497,5,1,100
0.23331746997707056,5,1,200
0.29829474359438723,5,1,500
0.20660439761361571,5,2,100
0.24983692338695021,5,2,200
0.25571220984432985,5,2,500
0.26269350562318611,5,5,100
0.23004271848667987,5,5,200
0.26857887229980137,5,5,500
